Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 68.0.3440.75,,2018-08-13 16:23:48,2018-08-13 16:24:14,25.584s,FAILED
,,,,,,
Test Cases/OrangeHRM/Search,Chrome 68.0.3440.75,,2018-08-13 16:23:49,2018-08-13 16:24:03,13.716s,FAILED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:23:49,2018-08-13 16:23:53,3.540s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:23:53,2018-08-13 16:23:56,3.539s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:23:56,2018-08-13 16:23:57,0.163s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:23:57,2018-08-13 16:23:57,0.129s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:23:57,2018-08-13 16:24:00,3.596s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:00,2018-08-13 16:24:02,1.303s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:24:02,2018-08-13 16:24:02,0.097s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:02,2018-08-13 16:24:02,0.475s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:02,2018-08-13 16:24:02,0.077s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:02,2018-08-13 16:24:03,0.380s,FAILED
,,,,,,
Test Cases/OrangeHRM/ValidLogin,Chrome 68.0.3440.75,,2018-08-13 16:24:03,2018-08-13 16:24:13,10.459s,FAILED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:24:03,2018-08-13 16:24:05,2.653s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:24:05,2018-08-13 16:24:09,3.479s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:24:09,2018-08-13 16:24:09,0.111s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:24:09,2018-08-13 16:24:09,0.081s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:09,2018-08-13 16:24:13,3.530s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:13,2018-08-13 16:24:13,0.085s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:24:13,2018-08-13 16:24:13,0.391s,FAILED
